date,amount,note,category,label
2024-01-02 09:30,35000,Tiem tra sua Te Amo,Trà sữa,latte
2024-01-02 12:30,45000,Com thit nuong,Ăn uống,essential
2024-01-03 15:30,35000,Tra sua tai Gong Cha,Trà sữa,latte
2024-01-03 08:00,60000,Xang xe may,Xăng xe,essential
2024-01-04 16:00,30000,Banh mi op la,Ăn vặt,latte
2024-01-04 19:00,120000,An toi nha hang,Ăn uống,essential
2024-01-05 14:30,35000,Tra sua Phuc Long,Trà sữa,latte
2024-01-06 10:00,25000,Banh tieu,Ăn vặt,latte
2024-01-06 18:00,85000,Sieu thi BigC mua thuc pham,Ăn uống,essential
2024-01-07 15:00,40000,Cafe coc dung,Giải trí,latte
2024-01-08 09:00,35000,Tra sua Toco Toco,Trà sữa,latte
2024-01-08 12:00,55000,Bun bo Hue,Ăn uống,essential
2024-01-09 14:00,28000,Khoai lang nuong,Ăn vặt,latte
2024-01-09 20:00,200000,Tien internet thang 1,Điện nước,essential
2024-01-10 15:30,35000,Tra sua Dingtea,Trà sữa,latte
2024-01-11 09:30,45000,Xang xe,Xăng xe,essential
2024-01-11 16:00,32000,Nuoc mia,Ăn vặt,latte
2024-01-12 14:30,35000,Tra sua The Alley,Trà sữa,latte
2024-01-12 19:00,150000,Di choi karaoke,Giải trí,latte
2024-01-13 10:00,22000,Bap rang bo rap phim,Ăn vặt,latte
2024-01-14 08:30,55000,Com van phong,Ăn uống,essential
2024-01-15 15:00,35000,Tra sua Katinat,Trà sữa,latte
2024-01-15 20:00,320000,Mua ao thun online,Mua sắm,latte
2024-01-16 12:00,48000,Pho bo,Ăn uống,essential
2024-01-17 14:30,35000,Tra sua Mi Mi,Trà sữa,latte
2024-01-17 09:00,60000,Xang xe dau tuan,Xăng xe,essential
2024-01-18 16:00,27000,Che thai,Ăn vặt,latte
2024-01-19 15:30,35000,Tra sua Bobapop,Trà sữa,latte
2024-01-19 18:00,95000,Thit heo BBQ,Ăn uống,essential
2024-01-20 14:00,25000,Banh flan,Ăn vặt,latte
2024-01-21 08:30,50000,Com chay,Ăn uống,essential
2024-01-22 15:30,35000,Tra sua Hi-Tea,Trà sữa,latte
2024-01-22 20:00,250000,Mua sach online,Mua sắm,latte
2024-01-23 12:00,42000,Hu tieu mi quang,Ăn uống,essential
2024-01-24 15:00,35000,Tra sua Royal Tea,Trà sữa,latte
2024-01-24 17:00,80000,Sieu thi mua thuc pham,Ăn uống,essential
2024-01-25 10:00,28000,Bot chien,Ăn vặt,latte
2024-01-26 15:30,35000,Tra sua Cuc Gach Quan,Trà sữa,latte
2024-01-26 19:00,180000,An toi sinh nhat ban,Ăn uống,essential
2024-01-27 08:00,55000,Xang xe cuoi tuan,Xăng xe,essential
2024-01-28 14:30,35000,Tra sua Ten Ren,Trà sữa,latte
2024-01-28 16:00,22000,Nuoc ep cam,Ăn vặt,latte
2024-01-29 12:30,48000,Com chien duong chau,Ăn uống,essential
2024-01-30 15:00,35000,Tra sua Lien Phat,Trà sữa,latte
2024-01-31 20:00,1500000,Tien nha thang 1,Tiền nhà,essential
2024-02-01 09:30,35000,Tra sua Ut Nam,Trà sữa,latte
2024-02-01 12:00,55000,Bun rieu cua,Ăn uống,essential
2024-02-02 14:30,35000,Tra sua Goc Pho,Trà sữa,latte
2024-02-02 08:00,60000,Xang xe,Xăng xe,essential
2024-02-03 16:00,30000,Kem dua,Ăn vặt,latte
2024-02-04 15:00,35000,Tra sua Ta Boba,Trà sữa,latte
2024-02-05 19:00,200000,An toi gia dinh,Ăn uống,essential
2024-02-06 10:00,25000,Chao long,Ăn vặt,latte
2024-02-07 15:30,35000,Tra sua Sharetea,Trà sữa,latte
2024-02-07 12:30,45000,Com bi suon cha,Ăn uống,essential
2024-02-08 14:00,28000,Nuoc dua,Ăn vặt,latte
2024-02-09 15:00,35000,Tra sua Heekcaa,Trà sữa,latte
2024-02-09 09:00,55000,Xang xe,Xăng xe,essential
2024-02-10 20:00,350000,Qua tang ban gai,Mua sắm,latte
2024-02-11 15:30,35000,Tra sua Yue Tea,Trà sữa,latte
2024-02-11 18:00,120000,Lau thai,Ăn uống,essential
2024-02-12 10:00,22000,Che ba mau,Ăn vặt,latte
2024-02-13 14:30,35000,Tra sua Tiger Sugar,Trà sữa,latte
2024-02-14 19:00,450000,An toi Valentine,Ăn uống,essential
2024-02-15 16:00,27000,Khoai mi nuong,Ăn vặt,latte
2024-02-16 15:00,35000,Tra sua KOI,Trà sữa,latte
2024-02-16 08:00,60000,Xang xe,Xăng xe,essential
2024-02-17 12:00,52000,Banh cuon,Ăn uống,essential
2024-02-18 15:30,35000,Tra sua Fuku,Trà sữa,latte
2024-02-18 20:00,200000,Tien dien thang 2,Điện nước,essential
2024-02-19 14:00,30000,Nuoc mia sua dua,Ăn vặt,latte
2024-02-20 15:00,35000,Tra sua Oh My Tea,Trà sữa,latte
2024-02-20 18:00,85000,Ga nuong muoi ot,Ăn uống,essential
2024-02-21 10:00,25000,Banh mi trung,Ăn vặt,latte
2024-02-22 15:30,35000,Tra sua Chago,Trà sữa,latte
2024-02-22 09:00,55000,Xang xe cuoi tuan,Xăng xe,essential
2024-02-23 16:00,28000,Che chuoi,Ăn vặt,latte
2024-02-24 15:00,35000,Tra sua Mixue,Trà sữa,latte
2024-02-24 19:00,150000,An toi voi dong nghiep,Ăn uống,essential
2024-02-25 14:30,32000,Bap rang,Ăn vặt,latte
2024-02-26 15:00,35000,Tra sua Ding Tea,Trà sữa,latte
2024-02-26 12:00,48000,Mi quang,Ăn uống,essential
2024-02-27 08:00,55000,Xang xe,Xăng xe,essential
2024-02-28 20:00,1500000,Tien nha thang 2,Tiền nhà,essential
2024-02-29 15:30,35000,Tra sua phong tra,Trà sữa,latte
2024-03-01 09:30,35000,Tra sua The Coffee House,Trà sữa,latte
2024-03-01 12:00,55000,Com tam bi suon,Ăn uống,essential
2024-03-02 14:30,35000,Tra sua Bobapop moi,Trà sữa,latte
2024-03-02 08:00,65000,Xang xe dau thang,Xăng xe,essential
2024-03-03 16:00,30000,Khoai lang chien,Ăn vặt,latte
2024-03-04 15:00,35000,Tra sua Hoa Viet,Trà sữa,latte
2024-03-05 19:00,180000,An toi cuoi tuan,Ăn uống,essential
2024-03-06 10:00,22000,Banh uot,Ăn vặt,latte
2024-03-07 15:30,38000,Tra sua hang moi,Trà sữa,latte
